label,name,notice,furigana
燃やせるごみ,生花,,あ
燃やせるごみ,アイスノン,,あ
燃やせるごみ,油(食用),布や紙に染み込ませて出す,あ
燃やせるごみ,雨がっぱ,,あ
燃やせるごみ,衣類,,い
燃やせるごみ,板切れ,50cm以下に切る,い
燃やせるごみ,おむつ,汚物を取り除いて出す,お
燃やせるごみ,カーテン,,か
燃やせるごみ,紙くず,,か
燃やせるごみ,靴・長靴,,く
燃やせるごみ,ゴム製品,,こ
燃やせるごみ,座布団,,さ
燃やせるごみ,食用油の容器(プラスチック),中を洗って出す,し
燃やせるごみ,タオル・雑巾,,た
燃やせるごみ,ぬいぐるみ,,ぬ
燃やせるごみ,布切れ,,ぬ
燃やせるごみ,ビニール袋,,ひ
燃やせるごみ,プラスチック製品(汚れが落ちないもの),,ふ
燃やせるごみ,毛布,50cm以下に切る,も
燃やせないごみ,アイロン,,あ
燃やせないごみ,アルミホイル,,あ
燃やせないごみ,傘,,か
燃やせないごみ,金属製の鍋・フライパン,,か
燃やせないごみ,ガラス製品,新聞紙に包んで「キケン」と書く,か
燃やせないごみ,金属類,,き
燃やせないごみ,蛍光灯,新聞紙に包んで「キケン」と書く,け
燃やせないごみ,瀬戸物・陶器,新聞紙に包んで「キケン」と書く,せ
燃やせないごみ,体温計(水銀),新聞紙に包んで「キケン」と書く,た
燃やせないごみ,刃物・包丁,新聞紙に包んで「キケン」と書く,は
燃やせないごみ,針金・針,,は
燃やせないごみ,やかん,,や
生ごみ,生ごみ全般,水気をよく切って出す,な
生ごみ,野菜くず,水気をよく切って出す,や
生ごみ,魚の骨・残飯,水気をよく切って出す,さ
生ごみ,卵の殻,,た
生ごみ,茶がら・コーヒーかす,水気をよく切って出す,ち
資源ごみ,新聞紙,ひもで束ねて出す,し
資源ごみ,雑誌・本,ひもで束ねて出す,さ
資源ごみ,ダンボール,ひもで束ねて出す,た
資源ごみ,紙パック(牛乳パック等),洗って開いて乾かして出す,か
資源ごみ,空き缶(アルミ・スチール),中を洗って出す,あ
資源ごみ,空きびん,中を洗ってキャップを外す,あ
資源ごみ,ペットボトル,中を洗ってラベルとキャップを外す,へ
資源ごみ,食品トレイ,洗って乾かして出す,し
資源ごみ,発泡スチロール,,は
小型家電,携帯電話,,け
小型家電,デジタルカメラ,,て
小型家電,ゲーム機,,け
小型家電,電卓,,て
小型家電,ドライヤー,,と
小型家電,電気シェーバー,,て
小型家電,ACアダプター,,え
粗大ごみ,自転車,,し
粗大ごみ,タンス,,た
粗大ごみ,テーブル,,て
粗大ごみ,ソファー,,そ
粗大ごみ,布団,,ふ
粗大ごみ,じゅうたん・カーペット,,し
粗大ごみ,ストーブ,灯油を抜いて電池を外す,す
粗大ごみ,物干し竿,,も
危険ごみ,スプレー缶,必ず使い切って穴を開ける,す
危険ごみ,カセットボンベ,必ず使い切って穴を開ける,か
危険ごみ,ライター,必ず使い切って出す,ら
危険ごみ,乾電池,,か
危険ごみ,ボタン電池,,ほ
